	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0052588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052590	7.37036	2.93269	5.54865	6.00653	4.80746	3.69224	4.71155	3.3924	1.72823	4.03596	3.7618	3.95284	4.71327	6.20519	11.0548	9.80403	8.03708	7.49006	9.24358	4.80683	6.02532	14.2425	5.50851	7.24147
FBgn0052591	0	0.0626643	0	0.0796623	0	0.0710047	0.0624874	0.137344	0	0.141118	0	0	0.0517942	0	0	0.18394	0	0	0.0888806	0	0.0799113	0	0.0963026	0.0843994
FBgn0052594	5.167973	5.323195	5.99557	5.636655	5.929881	5.775963	5.554979	5.34418	6.37554	6.641623	5.604006	5.63809	6.907723	6.995839	7.926398	5.982323	7.525752	7.025764	5.545699	5.619462	7.689807	9.148553	8.54188	5.11675
FBgn0052598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052600	0	0.0351287	0.108759	0.0669864	0.0647836	0.0298532	0.0350296	0	0	0.0593314	0.129773	0.0185277	0.290351	0.148656	0.0768877	0.18045	0.0525114	0.140429	0.0498252	0.0287889	0.15679	0.195416	0.134965	0
FBgn0052601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052602	0.114271	0	0.109489	0.0311243	0.0301008	0.0462363	0	0.125208	0.0108209	0.0275675	0.0376859	0.0258259	0.290052	0.161166	0.0714496	0.371308	0.146392	1.06029	1.31959	0	5.30768	4.07292	0.689805	0.373718
FBgn0052603	0.092849	0.258615	0.0889634	0.219177	0	0.122098	0	0.188939	0.114301	0.291195	0.318459	0.0909327	0.142503	0	0	0.12652	0	0	0	0	0.109931	0.137013	0	0
FBgn0052625	7.53343	1.85144	14.4363	5.75339	5.56419	9.14903	1.84622	9.69385	7.91015	5.32754	8.35956	9.11394	9.69179	11.317	8.10466	21.4365	1.84506	27.9603	16.6314	4.04615	14.9531	37.2738	9.80049	9.42033
FBgn0052626	91.1649102	91.72419012	96.17135099	103.6256802	112.14345	97.2431266	104.398855	106.655595	103.3215625	94.081261	110.6613513	103.6816007	92.991305	73.48576118	98.62198019	81.009476	122.3691803	76.97933703	100.735886	122.649743	108.6067523	72.689793	103.5234387	61.816238
FBgn0052631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052633	0.695448	0	6.330264	0.684022	0	0	0	0	0	0.121171	0.0993871	0	2.935229	0.0925209	11.0703	0	1.447775	0.215096	0.152635	0	1.37232	0.17104	2.811472	0
FBgn0052638	15.6455	18.4983	23.0673	23.3653	22.8885	16.1737	17.2045	15.3987	15.644	18.0248	15.551	15.8854	28.1287	31.7803	29.9766	24.3647	35.4509	21.2126	26.91	25.8494	22.6067	26.8567	24.7836	19.8038
FBgn0052639	0.198064	0	0.189775	0	0	0	0	0	0	0.207057	0	0	0	0	0	0	0	0	0.260823	0	0.234503	0	0	0
FBgn0052640	37.7551	32.9516	31.8746	35.2961	14.8415	27.3311	32.3913	29.5572	31.9961	25.4379	18.5592	22.8214	35.6934	31.8767	17.3628	39.8653	47.4325	22.3978	45.0062	25.368	29.598	43.341	49.1275	31.2823
FBgn0052641	24.026	32.9516	27.3211	40.3383	53.4293	45.0963	50.0593	50.0199	38.3954	36.7437	39.7698	27.3857	57.1094	55.0597	52.0884	57.3063	65.2197	39.1961	67.5093	67.648	53.2764	63.3445	46.057	52.1372
